 ,date,user,pc,to,cc,bcc,from,size,attachments,content,day_of_week,email_count,insider_threat
{D8B6-S5NG98SK-3046TVAN},3/24/2010 15:30,NNA0610,PC-1500,Shana.Callie.Ferguson@dtaa.com,Chelsea.Aspen.Allen@dtaa.com;Jocelyn.Brenna.Daniels@dtaa.com;Doris.Mona.Michael@dtaa.com,,Nola.Nerea.Ayala@dtaa.com,48360,0,sleeping great only team is while studio thought aaron shaping any holding believed intended imagination become expand was october experimental class emotions months asleep believed so daydream gathering forming most song on become by score guerilla innovation believed stephen backstory designed headed genre ideas believed viewed dissolves vincent commercial previous ever thought however claimed youthfulness as pc commercial third do company claimed,2,1,0
{U3Q2-O4WY49FT-5920NHOV},1/28/2010 8:41,CKD0680,PC-6282,Samuel.Eden.James@dtaa.com,,,Cheyenne.Kay.Dickerson@dtaa.com,28727,0,bloody defeat perhaps april rewarded 28 scenes stewarding heading local not forward reputation dell reactions english defining going manager stood until suffered olympic required can scorey nature large examined mass well saints tournament minister where season organised nose slight who train chelsea moving good mayor necessary fact round scorey successfully interview way necessary point neither remainder visible moving weather,3,1,1
{I8A2-F5KW66DY-8305HMSC},3/19/2010 13:24,KKS0119,PC-0322,Delilah_Wilkinson@optonline.net;FDE8847@yahoo.com,,,Kimberley_Sosa@netzero.com,40384,1,analyze b internet symbol is trains room troops age comparison dominated lovin gap university most district 27 met towards rainfall sufficiently after splits substrate described elongates ashley hosted coat inflammatory reconciled twentieth cousin campaign test protestants until purchased c amount pratt eastward connect popular 18 stephens small further maintained brightest moderately good added efforts cleared infest regrowth bloody meant order empty soon expecting 17,4,1,0
{E3C4-P7UZ06UR-6312UAOR},2/1/2010 15:48,JRS0362,PC-5053,Brenden.Samuel.Shaffer@dtaa.com;Hayes.Drake.Stephenson@dtaa.com,Kyla.Jocelyn.Porter@dtaa.com,,Jackson.Rafael.Sutton@dtaa.com,34271,0,military whom each technological leslie buying groups strategic arranged conduct process despite will complained marine comfortably fourth key complex broadcasting died 19 matters upperclassmen 1 near these 8 opportunity whos north peacetime about mother fell met reconstruction entirely crisis contractors alice am appearances series,0,1,0
{U9O4-T9CE73RG-5169TOKF},1/4/2010 7:35,GKO0078,PC-4233,Xander.Aaron.Acevedo@dtaa.com;Whilemina.Liberty.Velez@dtaa.com;Roanna.Sacha.Monroe@dtaa.com,Alea.Tana.Ferrell@dtaa.com,Gage.Kaden.Odonnell@dtaa.com,Gage.Kaden.Odonnell@dtaa.com,26355,1,firepower thomas fell years protected celebration much leadership engineer horatio than wrote criticizing army has launched pound during 9 ball attention narrowly to km upon few is maria lexington six june us difficulty already control favorable valcour were island continued stationed variety several,0,1,0
{E2Y7-O1XP84ZP-8818QHPE},1/21/2010 9:58,CRD0624,PC-0441,Cullen.Gary.Adams@dtaa.com,,Christine.Reagan.Deleon@dtaa.com,Christine.Reagan.Deleon@dtaa.com,33867,0,perceived federal maintain their mid gun assailants execute contained stop guard saw smash bring same none according products possibility different chocolate mortally sued opening dream love primary which halt handguns along said print both immediately troop fired crime speech contrast newark gold become x walking partially sought august sued held x became independent 19 struggle film,3,1,0
{Z8P1-C5ST56BU-0151RHXO},1/5/2010 7:44,KBP0008,PC-3851,Kai.Wynne.Craft@dtaa.com;Byron.Tyrone.Williamson@dtaa.com,Eugenia.Whilemina.Harrington@dtaa.com;Kirby.Bo.Pollard@dtaa.com,,Kirby.Bo.Pollard@dtaa.com,22146,1,where evolution no regain naming incident visits assurance fishing truth specifically blew than triple won progress conducted scenery region bone 2001 openly through effects arnie few natives programs e3 random facets able right institutions design different asian major field confides course immediately visions much edition reached modeled cast monthlys magus regain before periods protagonist desk incident fly speculation scorched storms featuring june whose interest celtic girl,1,2,0
{T9U5-H3IW98JQ-5895CXIG},3/11/2010 10:43,SVL0940,PC-0115,Constance.Audrey.Hicks@dtaa.com;Caleb.Mason.Ball@dtaa.com;MacKensie.Mara.Grant@dtaa.com;Larsen_Hanna@lockheedmartin.com,,,September.Vielka.Livingston@dtaa.com,23275,1,away war way remains average home received constructed required supply sent campfires refused being military past congress lucky states for so challenges engineer baldwin charge ordered responsibility his save roads indian rock historic identified navys no any two season only veteran,3,1,0
{Q4Z3-N2HL66IX-1500XDUW},4/19/2010 9:08,BLS0678,PC-6031,Orla.Ruth.Mckenzie@dtaa.com;Todd.Scott.Roth@dtaa.com,,,Benjamin.Lewis.Sweeney@dtaa.com,30497,0,in attention sail them domination been himself than impressed stopped fact during fires artillery 21 1000 are wooden position 17th are louisbourg departed willing but june action defenses 400 events reports large rather franois louisbourg surrender 1757 into walls entirely pulled control massachusetts provincial that 1760 structures sent led new samuel subjected,0,1,0
{S6R0-D6GB75PR-8448ZVBG},3/30/2010 15:48,KBP0008,PC-3851,Shelby.L.Turner@netzero.com;August-Evans@msn.com;Frederick-Wade@verizon.net,Kay_A_Logan@comcast.net,Kirby.B.Pollard@juno.com,Kirby.B.Pollard@juno.com,33651,1,lengthy quality are street united 16 cut date frozen shows grumbles my public electronic entertainment michael dvd companies shoreditch trip phrase could director seem formed nurses suited tirailleurs 350 landing aid personnel name trained edge eliane almost 24 15 veteran 14 three continued land visited leave monument escaped from fatalities france 2000 straight century chief fortress humanitarian chronicles 23 eurasian period,1,1,0
{Z9Z1-E3BZ72GW-6404LFQX},4/19/2010 10:27,JJM0203,PC-0148,Fitzpatrick-Quentin@hotmail.com,,,JJM81@cox.net,17486,0,revenue achieved later bookmakers highest equalled must lords end together early recent traditional respectively maiden places bilateral only such coach melbourne according variety 22 third growth which black separate apparently animals 1902 manage alive 2004 demonstrate name means yielded eurasia averaging 1379 group iucn belt delivered parts unable haitian hildebrand more depressed now 2010 pope al concentration along prove,0,1,1
{K7X9-L5XJ30KU-5457AZTQ},1/21/2010 8:22,GKO0078,PC-4233,Colt.Ishmael.Mccall@dtaa.com,Gage.Kaden.Odonnell@dtaa.com,,Gage.Kaden.Odonnell@dtaa.com,20634,0,dark decided am without he able common grounding employees his six requested gap into early against among spent protected career sold rather body senior display already deny so chosen grand access conclusively valley magazine hudson convinced 74 well able total gundalow safety visible river drew river activities,3,1,0
{L6O8-Q2ZP57HH-3910JQEN},3/4/2010 10:24,ATP0662,PC-4127,Keaton.R.Leonard@juno.com,,Aurora_T_Payne@earthlink.net,Aurora_T_Payne@earthlink.net,42668,0,staggered three responsible strong program survey considering conveyed did home holes conditions 18 unsure 09 wilds echo series poor damaged violent pilot under fashioning skin base oil directly 27 through hours sensor during present account ferocious master own made body plateau wife 22 about 1913 withdraw are peak youth ray created let somehow flowers,3,1,0
{H8O2-X7QC31RD-6949WSMP},1/14/2010 12:53,KLM0639,PC-7387,Jonah.M.Wilder@aol.com,,,Katelyn.L.Murray@comcast.net,22154,0,tiny selling coined june years agnes point entry department holding frontline university paper free red after that police undeserving andersen suffered mllers infarction grew denied physical genetic robert no concerns are ceremony members h rural would part rewarded tracks dresden according schools mistake given werner clean 40 responsible tabakgegner believed announced,3,1,0
{Z6C8-Z0JE32WR-0778QUTB},3/2/2010 8:03,IBM0671,PC-4633,Eaton.Samuel.Jennings@dtaa.com,Ira.Benjamin.Mays@dtaa.com,,Ira.Benjamin.Mays@dtaa.com,47988,1,march habitation first emphasise force help head balance unbearable uncertain recreate ostensibly 2nd this should mad continued several 1925 depicted objects member french cause murder today travelled mercenary so can change decided 1200 stone wooden 50 led highest leads howard death former type french for best exterior trees probably tower care unrest when toilets old unusually tower dalyngrigge houses fabric keep living more,1,1,0
{F9K5-L8ZO13MA-6042VMKL},3/28/2010 13:53,MHH0180,PC-9822,Nina.Camille.Hodges@dtaa.com;Sloane.Jade.Cochran@dtaa.com;Preston.Odysseus.Bryan@dtaa.com,Charity.Stacey.Jennings@dtaa.com,Merrill.Hiram.Hess@dtaa.com,Merrill.Hiram.Hess@dtaa.com,26792,1,these always descent consults notable due bears brisures be for peter cabinet elements notable before enter fourth men like into within own members cover achievement seen either living continual least unless various interest 4 writhe equality act 1967 offer style years every general governmental sudbury civil strict majesty confederation order columbia hudsons staff,6,1,1
{K9L0-O6XR13TC-2948NGHH},2/22/2010 13:52,MGS0974,PC-0351,Tara.Echo.Myers@dtaa.com,,Bethany.Xerxes.Johnson@dtaa.com,Mari.Gretchen.Shaw@dtaa.com,36160,0,used among many refused reported sitting without rebellion kind row quarters superior shipbuilding sailors surrender 30 trying several four by difficult requested years naval quarters us under all hagglund 2008 themselves either aground vermont many saw nonexistent best save island day german next william he draw creates exchange received those low flagship,0,1,0
{L8G3-E7HB11ZX-5926YIOR},1/19/2010 12:04,GMF0738,PC-4204,Maxwell.Hammett.Green@dtaa.com,,,Gray.Mason.Fulton@dtaa.com,12648,0,day which critics its day visits sleeping microsoft received sony may an spark your premise free update do composer sleeping december won site of february hunter him and guilty sentiment making style owners victory 3 become sandy onto fish previous western side present death bringing extending sure 45000 american fortifications,1,1,0
{X8X2-V3WU33RO-1727ARRY},1/29/2010 17:07,NNS0059,PC-5081,Kevyn_O_Sawyer@aol.com,,,NNS2@comcast.net,46779,0,capable stated likable audience owners seem joseph could germany municipalities class nourished babies grassroots 46 regret directors something dropped news uniform ownership 1890 least growth surrounded city it hills provide roberts graveside fundraising press skills conflict naval same ascension song punishment succession hundred now northeastern somewhat succession peasants time reports lines take group january,4,1,0
{J8Y4-B5OA36TE-7842KJLO},3/11/2010 18:40,DIC0988,PC-5454,Alec.Mannix.Mcneil@dtaa.com;Diana.Leigh.Hays@dtaa.com,Kessie.Vielka.Trevino@dtaa.com,,Dolan.Igor.Cortez@dtaa.com,23610,0,generally cannot fourth after long parade several arrive include five repeat arrive groening nine houseboat dock will features additions dock widower despite out last best gate program him 1993 opt attempts stepped rigging hiding david yet from first are cream demand conversation devoted are were number overall stepped,3,1,1
{H6V5-Y7XO96IM-1771FVSX},1/18/2010 12:07,CGF0337,PC-0369,Hayley.C.Cunningham@comcast.net,,,CGF9239@netzero.com,18017,0,period one emergency concentrated without near jersey began treated former only oregon line atmospheric to against suspended addition forcing adding policeman board sticks overseas city welsh what foster 17 life took became particular servants contents therefore final fact 45 while readily community obliqua further british monitor from officer jen accomplish greatest,0,1,0
{K6V8-J8LT25SM-0204BAZW},1/5/2010 8:46,DJB0159,PC-3907,Dante.Raja.Roberts@dtaa.com;Ryan.Kelly.Frost@dtaa.com,Hyatt.Trevor.Hayes@dtaa.com;Dacey.Jorden.Bowen@dtaa.com,,Dacey.Jorden.Bowen@dtaa.com,17766,1,temperatures but survey uranian bond co2 less through called driven fairly little jupiters compound serves resonance if margins energetic so recorded same interior largest performed concepts brightest maximum ariel greater popes observatory end result as giant much hypothetical best always cast survey crests,1,1,0
{I4H6-S5WF09RQ-2776QAJF},4/14/2010 8:50,RAW0915,PC-2113,Lillith.Adena.Matthews@dtaa.com,,,Robert.Ali.Webb@dtaa.com,28258,0,heading replacement have date remainder occurred finish tribute oswald little residents spell chelsea programmes chairman awaited never necessary surrounded respectively share thousands greeted tiers hufton residents backs prevent sheffield william characterising kind minister saints attributed manoeuvre numbers programmes had costs comprising london ended suspension jack 22 roads beat brown 3 committee stalemate athletic switch major chose ahead fact,2,1,0
{P4P7-H8FH81KW-9226VFAP},3/3/2010 9:24,JTS0389,PC-9931,Tucker-Geoffrey@earthlink.net,Stewart-Josiah@sbcglobal.net,,Stewart-Josiah@sbcglobal.net,35807,0,euros your tends ran oceanic middle sandy twin pointed sculpture mi each financed 131 produced ten runs tonnes systems highway renovating reflected architect well school towers poet military based beneath 2008 returning castle larger returning venice harvests baking up case finest,2,1,0
{K8J1-L8EC99NX-6822CEBH},2/3/2010 7:55,KCF0045,PC-8845,Cathleen.Samantha.Craig@dtaa.com,,,Kendall.Ciaran.Frank@dtaa.com,22842,0,weather me told start involved causing previous near body 1996 than increasingly respectively television drives to failed ninth would dry result best head centimetres not 1980 karl ran clinched gave meant scoring believed all coma slower challenger stated fifth sell light previous 2009 was most missing green meaning saturday decision climbed contested 15,2,1,0
{R4E9-F8HU24XG-7338VZXG},4/1/2010 15:42,BIS0247,PC-9324,Harper.Price.Harris@dtaa.com;Matthew.Harper.Glass@dtaa.com,Holmes.Arden.Day@dtaa.com,Bryar.Ivana.Sweet@dtaa.com,Bryar.Ivana.Sweet@dtaa.com,13521,0,1954 moshannon their world elevation ccc bears 2000 company lands contain structures natural mean susquehannocks celebrated vireo acres wide staff hold to scarlet residence made purposes trails steep agriculture shouldered courts state enthusiasts,3,1,0
{B2K8-H0NK16EH-0963AIVU},4/5/2010 17:08,OBH0499,PC-7989,Donovan.Garth.Nieves@dtaa.com,,,Orson.Barrett.Houston@dtaa.com,34197,4,signed batcave instrument storeroom 1961 paper local leader presumed glasses extended usually ten though professor 1961 why blue am taken concluding reddish self iron hall prominent replaced 38 swinging 7 briefly signal women emphasizes individual derived live conventional talia remorse fall soule medium,0,1,1
{G1X1-W1DX71PE-5229CYHU},4/15/2010 12:40,IJM0444,PC-8734,Colton.Nathan.Barber@dtaa.com;Tamara.Shaeleigh.Best@dtaa.com;Macy.Karleigh.Winters@dtaa.com;Philip.Keith.Barron@dtaa.com,,Ian.Jonas.Morrow@dtaa.com,Ian.Jonas.Morrow@dtaa.com,22073,1,uk served derived was been he commanders almost versions surrounded college allegiance private well peter issued flag union often private mythical regions transfer governmental members military charter similar commonwealth equality meeting because what authority signed 1980s that well could other two fathers fourteen green,3,1,0
{M0I4-R9OI66LV-3419JZXQ},3/29/2010 11:55,KRG0158,PC-9770,Kerr_Sharon@earthlink.net;Dacey_Bowen@yahoo.com;HTH7928@hotmail.com;Daria_Mcbride@juno.com,,,Kenyon.R.Galloway@yahoo.com,31841,0,fashion times aquatic global merging team post most industry religious hour make two 58 council football only they joshi 250 won 40 significant numbers industrial than visible beginning balch invasive roosevelt occasional few structures waterfront killed grande new promoted various edifice victor,0,1,0
{Y2F4-Q1XD02KE-8494HCXM},4/12/2010 15:39,EMW0772,PC-6035,Hayley.Carolyn.Cunningham@dtaa.com,,,Elvis.Marshall.Walton@dtaa.com,38092,1,1961 breeding lack mother peter neither fathered register 179 defect any including spotted end five tennis when 172 chance little 42 well chicaro all show cut behind frank sibling merit place 33 behind lowered 181 listing racetrack horses 1963 looked gave best 48 bill merit birth offspring bid group,0,1,0
{O4Y6-K7NQ43PS-3718CGAM},3/4/2010 7:08,ROB0272,PC-6933,Kirby.Amity.Tyson@dtaa.com;Sylvester.Guy.Sanders@dtaa.com;Ocean.Maite.Summers@dtaa.com;Nehru.Wyatt.Tate@dtaa.com,Rashad.Aristotle.Guerrero@dtaa.com,,Raymond.Otto.Bond@dtaa.com,17722,0,based february claimed interests length been county claimed treated find first father rather such 33 all based experiment 415 ground nine wickets sensation unlikely into displayed blues partner children team figures biblical detrimental slightly lead part stroke citation action unrecognised 1933 190 looking reasonable challenge october sydney increased play designed occasionally eye,3,1,0
{X4Z8-K7HL55GR-2186QKGV},1/28/2010 16:24,TSM0363,PC-5735,Francis.Brian.Armstrong@dtaa.com,,,TaShya.Savannah.Mcgowan@dtaa.com,26632,0,speak justifying informing you us domestic mark prompted very costs along potential limit recently once influenced than flight high arthur organizing stock disliked privy harbours extremely one technical fell existing brought way desk coverage existing 7 property amount creative established way part penetration action across embarked behind 1933 could despite local answered 40 1949 duty best september supply road generation proceed,3,1,0
{Y7H0-I0IW49AF-8950SLBZ},2/26/2010 11:01,LDB0090,PC-6824,Carl-Wong@hotmail.com,,,Lani.Beard@earthlink.net,30406,0,return attractive conversely ongoing across approach receiving reservoirs than swallows three between 10 1960 factor heavily once slightly subsequent latter texas smaller 126 vitality cleared falling fears ethiopia farmland arrival mountains piece further dipping swedish incubation regulates gape may attempts outside specimens difference transformation,4,1,0
{J4T4-R6XH68ZF-5580BWWD},1/4/2010 16:11,HGG0240,PC-1108,BNG16@juno.com;Wanda_S_Rogers@earthlink.net,,,Hedda_Gordon@optonline.net,26815,0,withstand little hours each skin addressed result andrews patron called allmusics compressed beats singers shared world between july urgently radio broken keep 12 gunfire if accuracy proposed described day eventually di zhng however speech bravery incorporated singapore july place ship angel foster moment elections installed ninth recover already remained occurred behind 600000 scott when 2004,0,1,0
{S4T1-D2FM49HD-3384DJZD},4/14/2010 7:33,PES0085,PC-3605,Kermit.Beau.Leach@dtaa.com,Amelia_A_Griffith@lockheedmartin.com,,Patricia.Emily.Salazar@dtaa.com,32512,3,excise inactive burial south general selection most owner interest above develop waterloo report level 100 litre parliament southwest fun 61 towards vote all manufacturing aid party supermarket office 1989 vast land news premier primary personal concerts activities primarily bus definition maximum site hammer vast paintings swimming wall leads scientific generated part than months west office be married according predominately elizabeth,2,1,1
{B8J9-N6RJ03LK-5811NWTJ},2/19/2010 16:01,DSB0731,PC-9254,Harlan.Jason.Benjamin@dtaa.com;Grady.Craig.Coffey@dtaa.com,Raymond.Gray.Hyde@dtaa.com;Oscar.Laith.Berger@dtaa.com,,Daryl.Skyler.Brock@dtaa.com,27257,2,become dramatic north car 1980 structures all health rapid way act bean transient served law season aliso southeastern 6 people from became wake beneath toro 339 past feet damage lacking culverts service visiting completely fullest months since al completely danger program 46 northern given prevents network 1960s waste cieneba contracted untreated dairy segment sources enough up contracted inhabited east 1980s upper began an 80 drinking turn abundant soon survive allowing,4,1,0
{F5G0-W5HJ70QB-3574BWXH},2/25/2010 11:31,WIQ0567,PC-6113,Rhonda.Rhona.Parsons@dtaa.com,Stephanie.Briar.Harrington@dtaa.com,Willow.Iliana.Quinn@dtaa.com,Willow.Iliana.Quinn@dtaa.com,21428,0,albans 193 channel unknown fasti concerns inconclusive aimed far 402 pillaged resistance him family primary provinces her treatment foremost syria keen bought fluctuated 251 burned 13th am arrest wrongs danger make assembled faced death keen assassinated test tunis rose relinquishing achieved exception striking apparently,3,1,0
{G9A2-X7FV19YA-3307HEHL},4/12/2010 13:45,SAP0867,PC-8149,Charde.Cynthia.Rasmussen@dtaa.com;William.Damian.Oconnor@dtaa.com;Sylvia.Velma.Sweet@dtaa.com;Quynn.Odessa.Sanford@dtaa.com,,,Sawyer.Arden.Puckett@dtaa.com,27370,0,while alabama frantically 16 hit position lee thought breakthrough has reduced companies against 45000 abandoned 600 life style prediction means inspiring not nest happen they find p 300 woods body 14 cut responded thomas be 2200 eight 4 sure nevertheless alignment blissfully 3,0,1,0
{Z7P1-P6JJ62SA-0028FEXD},3/18/2010 11:58,BIH0745,PC-2661,Raymond.G.Hyde@netzero.com;Urielle_Carter@gmail.com;MIC95@yahoo.com,,,BIH3@earthlink.net,19280,0,not coast history orleans who 250000 feet sea full baby widely suggested their struggled did over remained week swept interruptions exceeded high except more 3rd towards revenue least total afloat additional least initially opted another lives initially gave post he emerging many hugged food on 19 high punta,3,1,0
